平凡社『新訂 字訓［普及版］』より
一部、日本国語大辞典と照らし合わせた。

※
用例のみからでは甲乙を確定できない拍がある語には「(?)」、
アクセント記号の省略には「*」を付けました。
大文字と小文字の区別はしていません。

SKK辞書としてではなく、綴りを調べる為の辞書としてお使いください。

*toki	時
kéfu	今日
kesu	消す(?)
ki	牙*(き)(?)
kí	黄(?)
kíba	牙(きば)(?)
kíbi	黍(きび<kimi*)
kibisíi	厳しい(?: キ/ビ)
kidúku	築く(<杵築く)
kidúku	気付く
kifá	際
kifamáyru	極める
kigisi	雉*(きぎし)
kijáwi	清い
kijeru	消える(?: キ)
kiku	聞く
kimáw	肝
kimi	君
kíne	杵(きね)
kinofu	昨日*
kínu	衣(きぬ)
kínu	絹
kirafü	嫌う
kirakira	きらきら*(?)
kíri	錐
kiru	着る
kíru	切る
kisa	象*(きさ)(?)
kisáki	妃(きさき)(?: キ1/キ2)
kisimu	軋む(?)
kita	北(?)
kitanái	汚い(<かたなし)
kitáru	来たる(<来至る)
kitune	狐
kizamu	刻む(?)
kizi	雉(きじ)(?)
kizu	傷
kobámu	拒む(?)
kobósu	溢す/零す/覆す(?)
kobótu	毀つ(?)
kofái	強い/怖い
kófi	鯉(?: コ/ヒ)
kófori	郡(?)
koforu	凍る
kófü	乞う/請う
kógu	漕ぐ
kojomi	暦(<日読み)(?: コ)
koko	此処
kokono	九(ここの*)
kokoró	心
kokorojói	快い
kokoromíru	試みる
kokorozasi	志
komáy	米(こめ)
komóru	籠もる
kono	此の
konómu	好む
kore	此れ
koríru	懲りる
kóro	頃
korobu	転ぶ(ころぶ)(?: コ/ロ)
koromo	衣(ころも)
korosu	殺す
kóru	凝る
kosi	腰
kósi	輿
kosiki	甑(こしき)
kosirafayru	拵える(?: コ)
kotafáyru	堪える(?: コ)
kot'afáyru	答える(<言合ふ)
kotó	言
kotó	事
kóto	琴
kóto	殊(こと)
kotogótoku	尽く
kotosara	殊更
kotosi	今年
kotovari	理(<事割り)
kotovaza	諺
kotoxógu	寿ぐ(ことほぐ<言壽く)
kóve	声
kozóru	挙る(こぞる)(?: コ/ゾ)
kubi	首
kubiru	縊る(くびる)
kudámono	果物(<木だ物)
kúfi	杭(くい)
kugi	釘(?)
kukúy	茎
kúmaw	雲
kumáwru	曇る(?)
kumí	組
kumisúru	与する(<組する)
kúraw	黒
kuren'avi	紅(<呉の藍)
kusáw	糞
kusíro	釧(くしろ)
kutugáferu	覆る
kuy	柵/城*(き)
kúy	木
kuydúku	築く(<城築く)
kuykori	樵(<木伐り)
kuyri	霧
kuysí	岸
kizasi	兆し(?)
kwéru	蹴る(<くゑる)
mádaw	窓
madáwfü	惑う
mádawka	円か
máfe	前(<目方)
majaw	眉*(まよ)
makoto	真/誠(まこと)
mamóru	守る(<目守る)(?)
mánakaw	眼(<目な子)
maro	丸*(まろ)
marobu	転ぶ*(まろぶ)
mataw	的
maturofu	服う*(まつろう)(?)
maukáyru	設ける/儲ける(<まく)
máusu	申す(<まをす)
mawjeru	燃える
máwmaw	百(もも)
máwmaw	腿(もも)
máy	目
maydéru	愛でる
maydurasíi	珍しい
maygumu	恵む
mayguru	巡る
mé	牝/雌/女/妻(め)
mesí	飯(<召し)
mi	御*(み)
midaréru	乱れる
mídari	妄り(みだり)
mídori	緑
midu	水
midumidusíi	瑞々しい
miduti	蛟*(みずち)(?)
migi	右(?: ミ/ギ)
migiri	砌(<水限り)
mija	宮(<御屋)
míjabuy	雅
mijakaw	京/都(<御屋処?; 「処(コ)」は乙類)
mikadaw	帝(<御門)
mikoto	命(<御言)
mikotonori	詔/勅(<御言宣り)
mimí	耳
minami	南(みなみ)
minamoto	源(<水な本)
minataw	湊/港(<水な門)
miné	峰(<御嶺)
minikúi	醜い(<見悪し)
míru	見る
misaki	岬(<御先)
misataw	京*(<ミ里)
misavo	操(<ミさ青)(?)
mitásu	満たす
miti	道(<御チ)
mitibíku	導く
mitíru	満ちる
mitugi	貢ぎ*(<見継ぎ)
mituguy	貢(<御調)
mituxa	蛟*(みつは)
mizikái	短い
mo	藻(?)
mo	裳(?)
mo	喪(?)
modóru	戻る(?: モ/ド)
mojeru	萌える(?: モ)
mojofósu	催す(?: モ/ヨ)
momo	桃(?: モ1/モ2)
monó	物/者(?: モ)
mononoxu	武士/物部(もののふ)(?: モ)
moppara	専ら(<もはら)(?)
moréru	漏れる(?)
mori	森(?)
morói	脆い(?: モ)
moromoro	諸々(?: モ)
moru	盛る(?)
móru	守る(もる)(?)
mósi	若し(もし)(?)
motehasáwbu	弄ぶ(<持て遊ぶ)
moti	望*(もち)(?)
motivíru	用いる(<持ち率る)
moto	本/下/元/許
motomáyru	求める(?: モ)
motóru	悖る(?: モ/ト)
mótte	以って
mottómo	最も/尤も(<もとも)(?: モ1/ト/モ2)
mótu	持つ
múgi	麦
muk'afayru	迎える(<向かへる)
muk'afü	向かう(<向き合ふ)
múkaw	婿(?)
mukuraw	骸(<身幹)(?)
murásaki	紫(<叢咲き?)
muráw	室(むろ)
musiró	筵(むしろ)
músiro	寧ろ(?)
muy	身/実
múy	箕(み)
múydukara	自ら(<身つから)
muymakáru	薨る(<身罷る)
muynasígaw	孤児(<身無し子)
muynná	皆(みんな<みな)
muynóru	実る(<実乗る?)(?: ノ)
muyru	廻る*(みる)
muysogi	禊(<身濯ぎ?)(?: ミ/ソ)
nábay	鍋(<肴瓮)
nabíku	靡く
náfay	苗
nagáyku	嘆く(<長息)
nagi	薙ぎ*
nagí	凪
nagisa	渚
naguy	和ぎ*
namazifuy	憖(<生強ひ)
naméraka	滑らか
nami	並
namí	波
námida	涙
náw	野
nawbiru	野蒜
nazawrafáyru	準える(なぞらえる<なそふ?)
nékaw	猫
nemgoro	懇ろ(ねんごろ<根如)
nifay	贄*
nifinamay	新嘗
nigáyru	逃げる
nigifáfü	賑わう
nigiru	握る
nigóru	濁る
nísiki	錦
noboru	上る/登る
nobúyru	伸びる/延びる(?：ノ)
nódoka	長閑(のどか)
nogaréru	逃れる(?)
nokósu	残す/遺す
noku	退く(のく)
nomu	祈む*(のむ)
nómu	飲む/呑む
nómuy	鑿(のみ)
nómuy	のみ(助詞)
nori	法*(のり)
noritaw	祝詞(?: ト甲が古?)
norofü	呪う
noru	乗る
noru	宣る/告る*(のる)
noru	罵る*(のる)
notamáfü	宣う(<宣り給ふ)
notí	後(のち)
nozoku	除く(<ノ除く)(?: ノ)
nozomu	臨む/望む(?: ノ/ゾ)
nugufu	拭う(<nogofu*)
nunaw	布(?)
óbi	帯
obijakásu	脅かす(?: ビ)
obíru	帯びる
odájaka	穏やか(<odafika)
odoróku	驚く(?: ド/ロ)
ogoru	奢る/驕る/傲る
ojobu	及ぶ
oki	沖
ókina	翁
okonafü	行う
okóru	起こる
okóru	怒る(?)
okósu	起こす
okotaru	怠る(?)
okúyru	起きる
ómi	臣(<大臣)
omina	嫗*
ómo	主(おも)(?)
ómo	面(おも)(?)
omófü	思う
omoi	重い(?)
ómoja	母屋(?)
omompakáru	慮る(<思ひ計る)
omomúku	赴く(<面向く)(?)
omonéru	阿る(おもねる)(?)
omosiráwi	面白い(?: モ)
onodukara	自ら(<己つから)
onore	己
óroka	愚か
orósoka	疎か
osofü	襲う(<押す+覆ふ)(?)
osoi	遅い
osoréru	恐れる(?)
otó	音
otoftó	弟(<弟人)
otogafi	頤(おとがい)(?: ト/ヒ)
otona	大人(?)
otorofáyru	衰える(<劣る)(?: ロ)
otoru	劣る
otu	乙*(おつ)
oxitu	櫃
sabúyru	錆びる/寂びる
sabuysíi	寂しい(?)
safedúru	囀る(さえずる)(?)
safiduru	囀る*(さいずる)
saifafi	幸い(<幸はひ)
sajegíru	遮る(さえぎる<先切る)
sakáfi	界/境
sakakuy	榊(<栄木)
sakay	酒
sakébu	叫ぶ
saki	先
saki	埼*
saki	幸*
samajáwfü	彷徨う
sataw	里
satáwi	聡い(?)
satáwsu	諭す(?)
saw	麻*(そ)
sawnafu	供ふ/備ふ*(四段)
sáwra	空(そら)
sáwru	反る
sekí	咳(<塞き)
séki	関/堰(<塞き)
semáygu	鬩ぐ(<責む)(?)
semi	蝉
sifto	舅(<sifito*)
sigaymi	茂み
sikiri	頻り
sikome	醜女
simáw	下(しも)
simésu	示す(<為見す)
simiru	染みる
simó	霜(?)
simotó	笞(しもと)(?: モ)
sináwbu	偲ぶ
sináwgu	凌ぐ
sinóbu	忍ぶ
sinobuy	忍(しのび)
siranufi	不知火
síraw	白
sirizóku	退く(<後退く)
siro	城(しろ)(?)
siró	代(しろ)
so	衣*(そ)
só	其
sobijéru	聳える(?: ソ)
sode	袖
sófü	沿う(擬ふ→乙/副ふ→甲)(?)
sógu	削ぐ(?)
soko	底
sokonáfü	損う(?: ソ/コ)
somayru	染める
somáyru	初める
sómosomo	抑も
somúku	背く(<背向く)
sonafáyru	供える/備える(下二段からの場合)(?)
sonafu	供ふ/備ふ*(下二段)
sonému	嫉む(そねむ)
sóno	園
sorófü	揃う(<剃る?)(?: ソ/ロ)
sóru	剃る
sosíru	誹る/謗る/譏る(?)
sosogu	注ぐ/灌ぐ
sóto	外(<背面)
sozoro	漫ろ
súbayte	全て(<総べて)
súbe	術(<為方?)
sugáwsu	過ごす
suguy	杉
sugúyru	過ぎる(すぎる)
sukáwjaka	健やか(?)
sukáwsi	少し
suki	鋤
sumeroki	皇*(すめろき)
sumí	炭/墨(?)
súmi	隅(すみ)
sumíjaka	速やか(?)
susaw	裾
suzumay	雀
tabí	旅
tabí	度
tadajáwfü	漂う
tadawru	辿る
tadawtadawsíi	たどたどしい
tadoki	方便*(たどき<手付き)(?: ド)
tafagoto	戯言(たわごと)
tafay	妙*
táfay	栲
tafira	平ら(たいら<タ平)
tafutáwi	尊い(とうとい)
tagafi	互い(<違ひ)
tagajásu	耕す(<田返す)
tagíru	滾る
tájori	便り(<タ寄り)
takay	竹
takáy	岳/丈
takaynafa	酣(たけなわ)(?)
takedakesíi	猛々しい
tákesi	武(たけし)
taki	滝
takumi	匠/巧み
tamamono	賜物(たまもの<賜ひ物)
tamáy	為
támi	民(?)
tamótu	保つ(<手持つ)
tanabíku	たなびく
tanawsíi	楽しい
tanómu	頼む(<タ祈む)
tasukáyru	助ける(<タ助く)
tasuki	襷(たすき)
tatami	畳み
tatawfáyru	譬える/喩える/例える(?: ト)
tatawfi	仮令/縦*(たとい<譬ふ)(?: ト)
tatukí	方便(たつき<手付き)
taugáy	峠(<手向け)
taw	外*(と)
taw	門/戸
taw	処/所*(と)
tawbari	帳(とばり<戸張り?)(?)
táwgu	研ぐ/磨ぐ
táwku	疾く
táwmu	富む(?)
tawnafáyru	唱える
tawnari	隣り
tawra	虎
tawtúgu	嫁ぐ(<処継ぐ?)
tawzásu	閉ざす(<戸鎖す)
tifisái	小さい(?)
tigíru	契る(?)
tobosíi	乏しい(<tomosi*)
tobu	飛ぶ/跳ぶ
todíru	閉じる(?)
todokoforu	滞る
todomáru	留まる
todoroki	轟き
tofoi	遠い
tóforu	通る
tófosu	通す
tófü	問う(?)
tóga	咎
togayru	遂げる(?: ト)
tojo	豊*(とよ)
toko	床(とこ)
toko	常*(とこ)
tokoro	所/処*(ところ)
tokosifay	常しえ/永久(<床石上?)
tóku	解く/溶く
tóku	説く(?)
tomayru	止める/留める/泊める
tomo	共(とも)
tómo	友
tomogara	輩(ともがら)
tomósu	灯す/点す(ともす)(?: モ)
tomu	尋む/求む*(とむ)
tomuráfü	弔う(とむらう)(?)
tóno	殿
tonovi	宿直(とのい<殿居)
torafáyru	捉える/捕らえる(?: ト)
tori	鳥
torikáw	虜(<取り子)(?: ト)
tóru	取る/執る/採る/捕る/撮る(?)
tosí	年/歳
totonófü	整う
tóvo	十(とお)
tovomu	撓む(とおむ)
túbaki	椿
tudáwfü	集う
túfi	終/遂(つい)
tufijásu	費やす(?)
tugomori	晦(<月ごもり)(?: モ)
tujáwi	強い(つよい)(?: 字訓以外にはヨの甲乙が載っていない。有坂・池上法則からするとヨ乙は不審)
tukafi	遣い/使い
tukasadóru	司る(<首執る)(?)
tukí	坏
tukuje	机(?)
tukurófü	繕う(<作らふ)(?)
tukúy	月
tumadofu	妻誂う*
tumay	爪
tumetai	冷たい(?)
túmi	罪
turugi	剣(つるぎ)
tutáwmayte	勤めて/努めて
tutawmete	夙めて*(つとめて)(?: ト/メ)
tuuytatí	一日(<月立ち)
ufay	上(うえ)
ugáwku	動く(?)
umagaw	孫(うまご)
umay	梅
umí	膿
úmi	海
úsaw	嘘(?)
usawbúku	嘯く
usiro	後ろ
utagay	宴(<打ち上げ?)
utáwi	疎い
uturófü	移ろう(?)
utusemi	空蝉
vabuyru	詫びる
vabúyru	侘びる
vakí	脇/腋
vazafafi	禍(わざわい)
vodoru	踊る
vókay	桶(<麻の笥)
vokogamasíi	烏滸がましい
vomná	女(おんな<vomina*)
votokáw	男
votóme	乙女/処女(おとめ)
vyófü	酔う(<ゑふ)
xabéru	侍る(<這ひあり?)(?)
xabikóru	蔓延る(<ほびこる)
xafi	灰(?)
xafki	箒(ほうき<ははき)
xagému	励む(?)
xagesíi	激しい(?)
xakaw	箱
xakawbu	運ぶ
xay	瓮*(へ)
xáybi	蛇(<xaymi*)
xazimay	初め/始め
xé	辺/方(へ)
xedatéru	隔てる
xerikudáru	謙る(へりくだる)(?)
xeso	臍(へそ)(?: ヘ/ソ)
xeturáfü	諂う/諛う(へつらう)(?)
xi	日/陽
xi	霊*(ひ)
xi	氷*(ひ)
xibíku	響く
xidari	左(?)
xidí	肘
xigasi	東(<日向かし)(?)
xiidéru	秀でる(<穂出づ)(?)
xikarí	光
xikaw	彦*
xikaw	孫*(ひこ)
xikivíru	率いる(<引き率る)
xiku	弾く/引く/挽く/轢く/退く(他全ての「ひく」という動詞)
xikúi	低い(?)
xima	隙/暇/閑(ひま)(?)
xíme	姫
ximo	紐(?: モ)
ximorogi	神籬(ひもろぎ)(?: モ)
xinabúyru	鄙びる
xiráku	開く(ひらく)
xiré	鰭(ひれ)(?)
xiro	尋*
xirofü	拾う(<ひりふ)
xirói	広い
xirú	昼
xirugáferu	翻る(?: ヒ/ヘ)
xisagaw	瓠(ひさご)(?: ヒ/ゴ)
xisasíi	久しい
xísoka	密か(?: ヒ/ソ)
xitaburu	ひたぶる
xitafi	額(ひたい)(?: ヒ1/ヒ2)
xitasu	浸す(?)
xitasura	只管(ひたすら)
xito	人
xitóri	一人
xitosíi	等しい
xitotonari	人となり
xitótu	一つ
xitu	櫃(ひつ)
xitugi	棺(<人木?)(?: ヒ/キ)
xiza	膝
xiziri	聖(<日知り)
xodaw	程
xodokósu	施す
xófo	頬(ほお)
xóko	矛
xokóru	誇る
xónofo	炎(<火の穂)
xónoka	仄か(?)
xorobuy	滅び(ほろび)
xosói	細い
xotokay	仏
xotóndo	殆ど(ほとんど<xotofoto)
xotori	畔(ほとり)(?)
xóxo	頬(ほほ)
xózo	臍(ほぞ)
xúbito	史(ふびと<文人)
xuje	笛
xúmi	文(?)
xumotó	麓
xurumafi	振る舞い
xutatabi	再び(<二度)
xutáwi	太い(?)
xúy	火
xúyru	簸る(ひる)
